id,name,description,nutritional_value,common_allergens
1,Organic Chicken,,,
2,Chicken Meal,,,
3,Turkey Meal,,,
4,Potato Protein,,,
5,Meat Protein Isolate,,,
6,Chicken Fat (preserved with Mixed Tocopherols),,,
7,Gelatin,,,
8,Dried Plain Beet Pulp,,,
9,Natural Flavor,,,
10,Coconut Oil,,,
11,Chia Seeds,,,
12,Salt,,,
13,Taurine,,,
14,Calcium Carbonate,,,
15,Dried Tomato Pomace,,,
16,Calcium Propionate (a preservative),,,
17,Choline Chloride,,,
18,Dried Kelp,,,
19,Organic Barley Grass Powder,,,
20,Dried Blueberry Powder,,,
21,Dried Yogurt,,,
22,Apple Pectin,,,
23,Dried Kale,,,
24,Dried Spinach,,,
25,Dried Carrots,,,
26,Fish Oil,,,
27,Yeast Extract,,,
28,Citric Acid (a preservative),,,
29,Inulin,,,
30,Mixed Tocopherols (a preservative),,,
31,Rosemary Extract,,,
32,Yeast Culture,,,
33,Minerals (Potassium Chloride,,,
34,Zinc Proteinate,,,
35,Zinc Sulfate,,,
36,Ferrous Sulfate,,,
37,Iron Proteinate,,,
38,Copper Sulfate,,,
39,Copper Proteinate,,,
40,Manganese Sulfate,,,
41,Manganese Proteinate,,,
42,Sodium Selenite,,,
43,Calcium Iodate),,,
44,Vitamins (Ascorbic Acid [source of Vitamin C],,,
45,Vitamin E Supplement,,,
46,Niacin Supplement,,,
47,Calcium Pantothenate,,,
48,Vitamin A Supplement,,,
49,Thiamine Mononitrate,,,
50,Pyridoxine Hydrochloride,,,
51,Riboflavin Supplement,,,
52,Vitamin D3 Supplement,,,
53,Biotin,,,
54,Vitamin B12 Supplement,,,
55,Folic Acid),,,
56,Dried Aspergillus Oryzae Fermentation Product,,,
57,Dried Enterococcus Faecium Fermentation Product,,,
58,Dried Lactobacillus Casei Fermentation Product,,,
59,Dried Lactobacillus acidophilus Fermentation Product,,,
60,Dried Bacillus Subtilis Fermentation Product,,,
61,Dried Lactobacillus Plantarum Fermentation Product,,,
62,Dried Lactobacillus Lactis Fermentation Product,,,
63,Pepper.,,,
66,Salmon,,,
80,Montmorillonite Clay,,,
86,Chicken Gizzards,,,
87,Cranberries,,,
88,Blueberries,,,
89,Salmon Oil,,,
92,Alfalfa,,,
100,New Zealand Green Mussel,,,
107,Magnesium Sulfate,,,
108,Zinc Amino Acid Complex,,,
109,Iron Amino Acid Complex,,,
110,Copper Amino Acid Complex,,,
111,Manganese Amino Acid Complex,,,
112,Sodium Selenite),,,
113,DL-Methionine,,,
117,Folic Acid,,,
118,Vitamin D3 Supplement),,,
120,Chicken,,,
124,Ground Flaxseed,,,
125,Potassium Chloride,,,
126,Fructooligosaccharides,,,
128,d-Calcium Pantothenate,,,
129,Riboflavin,,,
132,Minerals (Zinc Proteinate,,,
134,Magnesium Oxide,,,
135,Mixed Tocopherols (Preservative),,,
136,Rosemary Extract.,,,
137,De-Boned Chicken,,,
138,De-Boned Turkey,,,
139,Duck Meal,,,
140,Salmon Meal,,,
141,De-Boned Trout,,,
142,Chicken Fat (Preserved With Mixed Tocopherols),,,
143,Natural Fish Flavor,,,
144,Peas,,,
145,Potatoes,,,
146,Whole Dried Egg,,,
147,Potato Flour,,,
148,Tapioca,,,
149,De-Boned Salmon,,,
150,De-Boned Duck,,,
151,Pumpkin,,,
152,Apples,,,
153,Carrots,,,
154,Bananas,,,
155,Lentils,,,
156,Broccoli,,,
157,Cottage Cheese,,,
158,Sweet Potatoes,,,
159,Blackberries,,,
160,Squash,,,
161,Papayas,,,
162,Pomegranate,,,
163,Phosphoric Acid,,,
164,Sodium Chloride,,,
165,Dl-Methionine,,,
166,Dried Chicory Root,,,
167,Dried Lactobacillus Acidophilus Fermentation Product,,,
168,Dried Aspergillus Oryzae Fermentation Extract,,,
169,Dried Bacillus Subtilis Fermentation Extract,,,
170,Vitamins (Vitamin A Supplement,,,
171,Niacin,,,
172,L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C),,,
173,D-Calcium Pantothenate,,,
174,Beta-Carotene,,,
175,Vitamin B12 Supplement),,,
176,Zinc Oxide,,,
177,Copper Sulphate,,,
178,Calcium Iodate,,,
179,Ferrous Sulphate,,,
180,Manganous Oxide,,,
181,Yucca Schidigera Extract,,,
182,Dried Rosemary.,,,
183,When evaluating a cat food,,,
184,the first five ingredients can tell you a lot about the quality of a product as they make up the bulk of the product. Ideally,,,
185,you're looking for quality protein sources with a minimum of cheap starches,,,
186,fillers or by-products. Continuing down the ingredient list,,,
187,look for ingredients that resemble real food with a minimal number of unpronounceable chemicals - the same as you would for human food.,,,
