name,brand,price,age_group,food_type,description,full_ingredient_list,image_url,shopping_url
Grandma Lucy's Moxie Turkey,Grandma,,,Dry,,,https://catfooddb.com/img/products/grandmalucys/150_moxie-turkey.png,https://www.chewy.com/grandma-lucys-moxie-turkey-recipe/dp/260784
"Wellness Core Original Original: Deboned Turkey, Turkey Meal & Chicken Meal",Wellness Core Original Original,,,Dry,,,"https://catfooddb.com/img/products/wellness/150_Core_Original_Original:_Deboned_Turkey,_Turkey_Meal___Chicken_Meal_dry.png",https://www.chewy.com/wellness-core-grain-free-original/dp/146754
Farmina Pumpkin Feline Venison & Pumpkin,Farmina,,,Dry,,,https://catfooddb.com/img/products/farmina/150_Pumpkin_Feline_Venison_&_Pumpkin_wet.png,https://www.amazon.com/exec/obidos/ASIN/B07NC4KRK6/catfood00b-20
"Nutro Pate Natural Chicken, Liver & Shrimp",Nutro,,,Dry,,,"https://catfooddb.com/img/products/nutro/150_Pate_Natural_Chicken,_Liver___Shrimp_wet.png",https://www.chewy.com/nutro-perfect-portions-grain-free/dp/118300
"Farmina Ocean Feline Tuna, Cod & Shrimp",Farmina,,,Dry,,,"https://catfooddb.com/img/products/farmina/150_Ocean_Feline_Tuna,_Cod_&_Shrimp_wet.png",https://www.chewy.com/farmina-natural-delicious-ocean-small/dp/223683
Dr Elsey's Cleanprotein Grain-free Rabbit & Turkey Recipe,Dr,,,Dry,,,https://catfooddb.com/img/products/dr elsey's/150_Dr._Elsey's_Cleanprotein_Grain-free_Rabbit_&_Turkey_Recipe_Wet_wet.png,https://www.chewy.com/dr-elseys-cleanprotein-grain-free/dp/311399
Instinct Ultimate Protein Real Chicken Recipe,Instinct,,,Dry,,,https://catfooddb.com/img/products/instinct/150_Ultimate_Protein_Real_Chicken_Recipe_wet.png,https://www.chewy.com/instinct-by-natures-variety-ultimate/dp/121824
Stella & Chewys Stella’s Selects Cage-Free Chicken,Stella,,,Dry,,,https://catfooddb.com/img/products/stella & chewys/150_Stella___s_Selects_Cage-Free_Chicken_wet.png,https://catfooddb.com/product/stella & chewys/Stella%E2%80%99s+Selects+Cage-Free+Chicken
Hound & Gatos Paleolithic Meat Recipe,Hound,,,Dry,,,https://catfooddb.com/img/products/hound & gatos/150_Paleolithic_Meat_Recipe_wet.png,https://www.chewy.com/hound-gatos-98-paleolithic-meat-grain/dp/165340
Fromm Beef & Venison Pâté,Fromm,,,Dry,,,https://catfooddb.com/img/products/fromm/150_Beef_Venison_P_t_wet.png,https://catfooddb.com/product/fromm/Beef+%26+Venison+P%C3%A2t%C3%A9
Fromm Game Bird Recipe,Fromm,,,Dry,,,https://catfooddb.com/img/products/fromm/150_Game_Bird_Recipe_dry.png,https://www.amazon.com/exec/obidos/ASIN/B09JDKM2ZF/catfood00b-20
"Farmina Ocean Feline Cod, Shrimp & Pumpkin",Farmina,,,Dry,,,"https://catfooddb.com/img/products/farmina/150_Ocean_Feline_Cod,_Shrimp_&_Pumpkin_wet.png",https://catfooddb.com/product/farmina/Ocean+Feline+Cod%2C+Shrimp+%26+Pumpkin
