name,brand,price,age_group,food_type,description,full_ingredient_list,image_url,shopping_url
Instinct Original Real Chicken Recipe For Kittens,Instinct,,Kitten,Wet,,,https://catfooddb.com/img/products/instinct/150_Original_Real_Chicken_Recipe_For_Kittens_wet.png,https://www.chewy.com/instinct-by-natures-variety-kitten/dp/149501
Wellness Core Paté Kitten: Chicken & Turkey,Wellness Core Paté Kitten,,Kitten,Wet,,,https://catfooddb.com/img/products/wellness/150_Core_Pat___Kitten:_Chicken___Turkey_wet.png,https://www.chewy.com/wellness-core-natural-grain-free/dp/37155
"Farmina Ocean Feline Cod, Shrimp & Pumpkin Kitten",Farmina,,Kitten,Wet,,,"https://catfooddb.com/img/products/farmina/150_Ocean_Feline_Cod,_Shrimp_&_Pumpkin_Kitten_wet.png",https://catfooddb.com/product/farmina/Ocean+Feline+Cod%2C+Shrimp+%26+Pumpkin+Kitten
Tiki Cat Velvet Mousse Kitten Mousse With Salmon & Chicken In Broth,Tiki,,Kitten,Wet,,,https://catfooddb.com/img/products/tiki cat/150_Velvet_Mousse_Kitten_Mousse_with_Salmon___Chicken_in_Broth_wet.png,https://www.chewy.com/tiki-cat-velvet-mousse-salmon-chicken/dp/285544
Merrick Purrfect Bistro Grain Free Healthy Kitten Recipe,Merrick,,Kitten,Wet,,,https://catfooddb.com/img/products/merrick/150_Purrfect_Bistro_Grain_Free_Healthy_Kitten_Recipe_dry.png,https://www.chewy.com//merrick-purrfect-bistro-grain-free/dp/115588
Performatrin Ultra Grain-Free Kitten Recipe,Performatrin,,Kitten,Wet,,,https://catfooddb.com/img/products/performatrin/150_product-perfultra-cat-kitten-grainfree-5lb_lg.png,https://www.amazon.com/exec/obidos/ASIN/B00ZY5B6GI/catfood00b-20
"Wellness Core Kitten Kitten: Deboned Turkey, Turkey Meal & Deboned Chicken",Wellness Core Kitten Kitten,,Kitten,Wet,,,"https://catfooddb.com/img/products/wellness/150_Core_Kitten_Kitten:_Deboned_Turkey,_Turkey_Meal___Deboned_Chicken_dry.png",https://www.chewy.com/wellness-core-grain-free-kitten/dp/37149
Instinct Original Real Chicken Recipe For Kittens (Dry),Instinct,,Kitten,Dry,,,https://catfooddb.com/img/products/instinct/150_Original_Real_Chicken_Recipe_For_Kittens_(Dry)_dry.png,https://www.chewy.com/instinct-by-natures-variety-original/dp/149476
Valens Kitten,Valens,,Kitten,Wet,,,https://catfooddb.com/img/products/valens/150_kitten.png,https://catfooddb.com/product/valens/Kitten
Acana First Feast Kitten,Acana,,Kitten,Wet,,,https://catfooddb.com/img/products/acana/150_First_Feast_Kitten_dry.png,https://www.chewy.com/acana-first-feast-high-protein-kitten/dp/286013
